"Jahr","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Land","HH","HH","HH","HH","HH","HH","HH","HH","HH","HH","HH","HH","HH","HH","HH","HH",
"Thema","1)","1)","1)","1)","1)","1)","1)","1)","1)","1)","1)","1)","1)","1)","1)","1)",
"Januar","186","204","201","235","247","249","256","264","294","327","332","352","371","382","404","432",
"Februar","193","216","221","242","273","291","282","299","320","369","375","394","416","463","453","474",
"MÃ¤rz","241","259","266","303","338","336","335","377","398","449","470","469","501","526","555","597",
"April","241","271","299","333","331","353","355","390","438","461","502","504","526","554","592","600",
"Mai","279","301","304","351","352","389","395","444","473","507","547","559","573","578","597","638",
"Juni","266","285","292","320","364","354","382","416","451","493","532","537","561","565","616","647",
"Juli","268","289","301","345","367","381","411","427","478","532","554","566","628","656","617","0",
"August","281","301","344","371","386","376","429","485","504","567","617","611","605","606","636","0",
"September","275","300","333","370","363","378","418","433","459","499","517","524","546","581","628","0",
"Oktober","281","323","326","355","345","376","415","449","468","495","522","561","553","609","605","0",
"November","249","278","302","327","333","337","356","395","421","476","468","493","503","533","552","0",
"Dezember","213","236","260","292","285","298","333","353","377","426","444","480","496","513","528","0",
"Durchschnitt","248","272","287","320","332","343","364","394","423","467","490","504","523","547","565","0",
"Insgesamt","2973","3263","3449","3844","3984","4118","4367","4732","5081","5601","5880","6052","6277","6566","6783","0",