jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
2018,12,04011,.,.
2018,11,04011,100228,173154
2018,10,04011,104590,201443
2018,9,04011,103401,193521
2018,8,04011,106211,192086
2018,7,04011,91277,166502
2018,6,04011,96470,178059
2018,5,04011,98047,180551
2018,4,04011,95461,173367
2018,3,04011,83893,153927
2018,2,04011,78795,142709
2018,1,04011,73656,130698
2017,12,04011,96727,174893
2017,11,04011,92399,166096
2017,10,04011,99658,184881
2017,9,04011,101532,185865
2017,8,04011,98740,183486
2017,7,04011,91820,167861
2017,6,04011,91737,167302
2017,5,04011,97532,178005
2017,4,04011,89994,163856
2017,3,04011,83727,149213
2017,2,04011,73360,130044
2017,1,04011,69266,121254
2016,12,04011,91418,161335
2016,11,04011,90812,161353
2016,10,04011,99771,184700
2016,9,04011,99741,182995
2016,8,04011,95610,177335
2016,7,04011,84382,157713
2016,6,04011,86927,160513
2016,5,04011,91432,175005
2016,4,04011,92312,168267
2016,3,04011,77865,149203
2016,2,04011,77597,142351
2016,1,04011,64771,123355
2015,12,04011,89617,163297
2015,11,04011,90713,166052
2015,10,04011,101926,189364
2015,9,04011,96091,177534
2015,8,04011,90911,172594
2015,7,04011,92270,169308
2015,6,04011,92315,168960
2015,5,04011,91892,174152
2015,4,04011,82209,150103
2015,3,04011,78134,146779
2015,2,04011,71007,130865
2015,1,04011,66083,124222
2014,12,04011,86543,159472
2014,11,04011,88992,175416
2014,10,04011,101977,188118
2014,9,04011,91703,169554
2014,8,04011,85025,163670
2014,7,04011,85791,158482
2014,6,04011,81876,151535
2014,5,04011,90566,168350
2014,4,04011,73848,141679
2014,3,04011,76939,145842
2014,2,04011,71392,128987
2014,1,04011,63305,111491
2013,12,04011,83259,146896
2013,11,04011,86255,150256
2013,10,04011,89230,159831
2013,9,04011,88479,159242
2013,8,04011,85348,154728
2013,7,04011,78274,139928
2013,6,04011,80886,142679
2013,5,04011,85214,154524
2013,4,04011,76213,135760
2013,3,04011,65741,117373
2013,2,04011,64089,110114
2013,1,04011,59101,100437
2012,12,04011,71979,125994
2012,11,04011,78285,135164
2012,10,04011,82639,150732
2012,9,04011,82378,148730
2012,8,04011,68458,124943
2012,7,04011,72162,129646
2012,6,04011,74838,133025
2012,5,04011,76976,131374
2012,4,04011,71146,123345
2012,3,04011,69274,115249
2012,2,04011,67466,109815
2012,1,04011,60931,99492
2011,12,04011,76734,125606
2011,11,04011,81118,133040
2011,10,04011,85104,148371
2011,9,04011,83748,145981
2011,8,04011,77417,135758
2011,7,04011,75508,130276
2011,6,04011,75518,132517
2011,5,04011,85635,146193
2011,4,04011,72484,124830
2011,3,04011,69711,116124
2011,2,04011,60102,100500
2011,1,04011,55128,89597
2010,12,04011,76019,122860
2010,11,04011,76579,123587
2010,10,04011,87020,149880
2010,9,04011,81974,137789
2010,8,04011,74831,129403
2010,7,04011,67520,121672
2010,6,04011,70879,119989
2010,5,04011,74706,127594
2010,4,04011,69590,115724
2010,3,04011,60629,104828
2010,2,04011,59138,97727
2010,1,04011,47834,80276
2009,12,04011,64203,109398
2009,11,04011,65551,108837
2009,10,04011,72806,127746
2009,9,04011,70655,126645
2009,8,04011,66563,120856
2009,7,04011,59510,104497
2009,6,04011,65284,114102
2009,5,04011,70810,129227
2009,4,04011,62343,107706
2009,3,04011,58034,99078
2009,2,04011,53807,90102
2009,1,04011,45803,76454
2008,12,04011,63824,105644
2008,11,04011,69985,117345
2008,10,04011,71194,126801
2008,9,04011,76002,132331
2008,8,04011,67264,121819
2008,7,04011,59699,108880
2008,6,04011,68474,117577
2008,5,04011,65864,119279
2008,4,04011,67872,113692
2008,3,04011,55604,97594
2008,2,04011,60891,101214
2008,1,04011,55189,91727
2018,12,04012,.,.
2018,11,04012,16086,27702
2018,10,04012,20493,38778
2018,9,04012,24453,43607
2018,8,04012,26930,48119
2018,7,04012,25743,45596
2018,6,04012,23127,41931
2018,5,04012,25118,43964
2018,4,04012,18130,34183
2018,3,04012,15907,31302
2018,2,04012,13433,26017
2018,1,04012,11515,21858
2017,12,04012,12497,22702
2017,11,04012,13814,26053
2017,10,04012,19162,37295
2017,9,04012,21526,38148
2017,8,04012,23357,43443
2017,7,04012,22208,39953
2017,6,04012,21661,38794
2017,5,04012,20368,37562
2017,4,04012,16576,32360
2017,3,04012,13298,26828
2017,2,04012,11898,23360
2017,1,04012,11285,20700
2016,12,04012,11725,21098
2016,11,04012,13128,23475
2016,10,04012,18980,35048
2016,9,04012,20779,36974
2016,8,04012,22252,42192
2016,7,04012,20950,40262
2016,6,04012,19271,35995
2016,5,04012,20320,40628
2016,4,04012,15635,32172
2016,3,04012,14812,30036
2016,2,04012,11908,21516
2016,1,04012,10347,21948
2015,12,04012,11505,23670
2015,11,04012,14124,27946
2015,10,04012,17512,33118
2015,9,04012,17938,36240
2015,8,04012,19609,40519
2015,7,04012,18063,34466
2015,6,04012,17021,32199
2015,5,04012,18796,35648
2015,4,04012,15438,29800
2015,3,04012,13035,26581
2015,2,04012,11028,21212
2015,1,04012,9728,19158
2014,12,04012,11145,21385
2014,11,04012,13238,25447
2014,10,04012,17561,36733
2014,9,04012,18158,35935
2014,8,04012,18220,37138
2014,7,04012,17709,34956
2014,6,04012,16756,33792
2014,5,04012,17616,36442
2014,4,04012,14126,27776
2014,3,04012,13262,25642
2014,2,04012,9889,20788
2014,1,04012,9254,18284
2013,12,04012,10482,19828
2013,11,04012,12632,23511
2013,10,04012,16569,33622
2013,9,04012,17441,34753
2013,8,04012,17761,36273
2013,7,04012,16527,33762
2013,6,04012,16058,31423
2013,5,04012,15787,31191
2013,4,04012,13002,26373
2013,3,04012,11498,24243
2013,2,04012,9308,18181
2013,1,04012,8666,17782
2012,12,04012,9837,19224
2012,11,04012,12481,23788
2012,10,04012,15293,32236
2012,9,04012,15673,32475
2012,8,04012,16953,35452
2012,7,04012,16879,34753
2012,6,04012,15827,32040
2012,5,04012,15984,31315
2012,4,04012,14513,29514
2012,3,04012,12115,24364
2012,2,04012,10102,19954
2012,1,04012,9565,18141
2011,12,04012,10217,20118
2011,11,04012,13201,26789
2011,10,04012,17636,34677
2011,9,04012,17363,34352
2011,8,04012,17475,35903
2011,7,04012,17761,34909
2011,6,04012,18115,35353
2011,5,04012,16431,31576
2011,4,04012,14577,29787
2011,3,04012,11476,22539
2011,2,04012,9137,17402
2011,1,04012,8708,20808
2010,12,04012,9320,21904
2010,11,04012,12548,24252
2010,10,04012,17965,34939
2010,9,04012,16583,32319
2010,8,04012,17005,36003
2010,7,04012,16593,33576
2010,6,04012,15577,31137
2010,5,04012,16333,31773
2010,4,04012,12952,26836
2010,3,04012,11596,23344
2010,2,04012,8262,16165
2010,1,04012,8722,16369
2009,12,04012,8627,16630
2009,11,04012,10906,20425
2009,10,04012,13893,28044
2009,9,04012,13240,28464
2009,8,04012,13676,28702
2009,7,04012,12206,26228
2009,6,04012,12284,24451
2009,5,04012,12659,27242
2009,4,04012,9471,21356
2009,3,04012,8452,18955
2009,2,04012,7385,15844
2009,1,04012,6435,13939
2008,12,04012,7671,15178
2008,11,04012,8394,18302
2008,10,04012,11829,24754
2008,9,04012,13384,27054
2008,8,04012,13956,29777
2008,7,04012,14719,28030
2008,6,04012,13700,23872
2008,5,04012,14086,25853
2008,4,04012,10837,19590
2008,3,04012,11789,22318
2008,2,04012,7257,13756
2008,1,04012,6425,13413
